unit	class	families	line
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pitṝṇāṃ dviprakārāṇāṃ svadhāyāstadanantaram
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pitṛvaṃśaprasaṅgena kīrtyate ca maheśvarāt
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	dakṣasya śāpaḥ satyarthe bhṛgvādīnāñca dhīmatām
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pratiśāpaśca rudrasya dakṣādadbhutakarmaṇaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	teṣāṃ niyogo dvīpeṣu deśeṣu ca pṛthak pṛthak
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana,visnupurana	dvīpānāṃ sasamudrāṇāṃ parvatānāñca kīrttanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	varṣāṇāñca nadīnāñca tadbhedānāñca sarvaśaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,kurmapurana,lingapurana,vayu	vistarān maṇḍalāccaiva jambūdvīpasamudrayoḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pramāṇaṃ yojanāgreṇa kīrttyate parvataiḥ saha
vayupurana_01_frame-and-cosmogony_iast	vayubd	agnipurana,bhavisyapurana,brahmandapurana,brahmapurana,garudapurana,kurmapurana,sivapurana,vayu,visnupurana	nīlaḥ śvetaḥ śṛṅgavāṃśca kīrttyante varṣaparvatāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	teṣāmantaraviṣkambhā ucchrāyāyāmavistarāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,brahmapurana,padmapurana,vayu	bhāratādīni varṣāṇi nadībhiḥ parvataistathā
vayupurana_01_frame-and-cosmogony_iast	vayubd	bhavisyapurana,brahmandapurana,brahmapurana,kurmapurana,lingapurana,matsyapurana,padmapurana,vayu,visnupurana	jambūdvīpādayo dvīpāḥ samudraiḥ saptabhirvṛtāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	tataścāpyammayī bhūmirlokālokaśca kīrttyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	aṇḍasyāntastvime lokāḥ saptadvīpā ca medinī
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	bhūrādayaśca kīrttyante varaṇaiḥ prākṛtaiḥ saha
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	savyāsaparimāṇañca saṃkṣepeṇaiva kīrttyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	sūryācandramasoścaiva pṛthivyāścāpyaśeṣataḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pramāṇaṃ yojanāgreṇa sāmpratairabhimānibhiḥ
