unit	kind	x	y	pct	words
visnupurana_amsa-6_u	base	0.174947	-0.121122	73.0	
visnupurana_u	base	0.041819	-0.030001	50.8	
vayupurana_01_frame-and-cosmogony_iast	resid	0.205980	0.318060	81.7	996
vayupurana_01_frame-and-cosmogony_iast	ppl	0.175236	0.620948	73.8	6112
vayupurana_01_frame-and-cosmogony_iast	vayubd	0.137219	0.393765	65.9	2104
vayupurana_01_frame-and-cosmogony_iast	other	0.190202	0.333313	79.4	484
vayupurana_02_pashupata-yoga_iast	resid	0.271361	0.270914	86.5	1220
vayupurana_02_pashupata-yoga_iast	ppl	0.080943	0.286821	57.9	51
vayupurana_02_pashupata-yoga_iast	vayubd	0.143579	0.232143	65.9	151
vayupurana_02_pashupata-yoga_iast	other	0.316777	0.166655	89.7	1860
vayupurana_03_kalpas-and-shiva-lineages_iast	resid	0.026397	0.336722	48.4	3357
vayupurana_03_kalpas-and-shiva-lineages_iast	ppl	0.063491	0.706727	54.8	1834
vayupurana_03_kalpas-and-shiva-lineages_iast	vayubd	0.121845	0.623651	62.7	2566
vayupurana_03_kalpas-and-shiva-lineages_iast	other	-0.009804	0.182184	42.9	5390
vayupurana_04_bhuvana-vinyasa_iast	resid	0.131785	0.298317	62.7	5080
vayupurana_04_bhuvana-vinyasa_iast	ppl	0.072625	0.457826	54.8	189
vayupurana_04_bhuvana-vinyasa_iast	vayubd	0.186134	0.441261	78.6	4517
vayupurana_04_bhuvana-vinyasa_iast	other	0.166822	0.445759	69.0	1123
vayupurana_05_jyotis-and-purvardha-close_iast	resid	0.133116	0.436805	63.5	648
vayupurana_05_jyotis-and-purvardha-close_iast	ppl	0.110037	0.839689	61.9	532
vayupurana_05_jyotis-and-purvardha-close_iast	vayubd	0.171873	0.415690	72.2	12488
vayupurana_05_jyotis-and-purvardha-close_iast	other	0.064120	0.462363	54.8	338
vayupurana_06_prthu-and-prajapati-lineages_iast	resid	-0.010949	0.457888	42.1	1421
vayupurana_06_prthu-and-prajapati-lineages_iast	ppl	-0.063635	0.557960	34.1	5524
vayupurana_06_prthu-and-prajapati-lineages_iast	vayubd	0.076555	0.470923	57.1	6570
vayupurana_06_prthu-and-prajapati-lineages_iast	other	0.005720	0.358764	46.0	161
