unit	kind	x	y	pct	words
vayupurana_05_jyotis-and-purvardha-close_iast	shared	0.171323	0.438569	71.4	13262
vayupurana_06_prthu-and-prajapati-lineages_iast	resid	0.002731	0.484796	44.4	1421
vayupurana_06_prthu-and-prajapati-lineages_iast	shared	0.013508	0.489672	46.8	12184
vayupurana_07_shraddha-kalpa_iast	resid	0.182489	0.319370	76.2	894
vayupurana_07_shraddha-kalpa_iast	shared	0.204621	0.218374	81.7	8856
vayupurana_08_manu-candra-vishnu-vamsha_iast	resid	-0.125619	0.403313	27.8	1064
vayupurana_08_manu-candra-vishnu-vamsha_iast	shared	-0.202923	0.350735	22.2	19309
vayupurana_09_upasamhara_iast	resid	0.175283	0.239855	73.0	1575
vayupurana_09_upasamhara_iast	shared	0.189992	0.514132	77.8	7398
vayupurana_10_gaya-mahatmya_iast	resid	0.193443	-0.097033	78.6	4780
vayupurana_10_gaya-mahatmya_iast	shared	0.231539	0.051124	85.7	1671
vayupurana_revakhanda	resid	0.083307	-0.192465	57.9	44637
vayupurana_revakhanda	shared	0.148787	-0.196507	66.7	28365
brahmandapurana_khanda-1_u	resid	0.102706	0.392832	61.1	4098
brahmandapurana_khanda-1_u	shared	0.129289	0.474014	65.1	34569
brahmandapurana_khanda-2_u	resid	-0.117260	-0.114384	28.6	23124
brahmandapurana_khanda-2_u	shared	-0.049503	0.294189	37.3	35343
brahmandapurana_khanda-3_u	resid	0.102151	0.000316	61.1	33709
brahmandapurana_khanda-3_u	shared	0.177485	0.392781	73.8	9287
visnupurana_amsa-1_u	resid	-0.022148	-0.093686	40.5	6267
visnupurana_amsa-1_u	shared	0.072640	0.236040	57.1	6523
visnupurana_amsa-2_u	resid	0.169646	0.102966	70.6	1642
visnupurana_amsa-2_u	shared	0.155663	0.119280	66.7	5477
visnupurana_amsa-3_u	resid	0.211831	-0.063490	84.1	4756
visnupurana_amsa-3_u	shared	0.243252	0.154089	85.7	3065
visnupurana_amsa-4_u	resid	-0.028055	0.096526	40.5	8910
visnupurana_amsa-4_u	shared	-0.107121	0.308803	29.4	520
visnupurana_amsa-5_u	resid	-0.024796	-0.095549	40.5	2796
visnupurana_amsa-5_u	shared	-0.204337	-0.143171	22.2	11280
visnupurana_amsa-6_u	resid	0.166569	-0.058540	69.8	945
visnupurana_amsa-6_u	shared	0.171812	-0.100155	72.2	3624
