unit	kind	x	y	pct	words
vayupurana_09_upasamhara_iast	shared	0.406073	0.535472	96.0	4711
vayupurana_10_gaya-mahatmya_iast	resid	0.218552	-0.218970	73.0	3164
vayupurana_10_gaya-mahatmya_iast	shared	0.250270	-0.234770	80.2	1165
vayupurana_revakhanda	resid	0.124226	-0.238831	60.3	34011
vayupurana_revakhanda	shared	0.222430	-0.192452	73.0	20454
brahmandapurana_khanda-1_u	resid	0.348098	0.429182	91.3	3062
brahmandapurana_khanda-1_u	shared	0.274726	0.513421	83.3	22895
brahmandapurana_khanda-2_u	resid	0.046048	-0.118165	53.2	14912
brahmandapurana_khanda-2_u	shared	0.099984	0.328644	58.7	24048
brahmandapurana_khanda-3_u	resid	0.269456	-0.084129	81.7	19976
brahmandapurana_khanda-3_u	shared	0.367044	0.436593	93.7	5907
visnupurana_amsa-1_u	resid	0.079691	0.026295	56.3	4187
visnupurana_amsa-1_u	shared	0.193806	0.316154	68.3	4447
visnupurana_amsa-2_u	resid	0.165453	0.046411	66.7	1075
visnupurana_amsa-2_u	shared	0.269170	0.203754	81.7	3641
visnupurana_amsa-3_u	resid	0.162133	-0.072121	66.7	2902
visnupurana_amsa-3_u	shared	0.278982	0.162761	83.3	1970
visnupurana_amsa-4_u	resid	0.039381	0.018528	52.4	4611
visnupurana_amsa-4_u	shared	0.164111	0.274998	66.7	474
visnupurana_amsa-5_u	resid	-0.054495	-0.172955	39.7	1745
visnupurana_amsa-5_u	shared	-0.088462	-0.221718	35.7	7410
visnupurana_amsa-6_u	resid	0.072031	-0.088764	55.6	584
visnupurana_amsa-6_u	shared	0.301221	-0.035834	86.5	2218
