build	lens	text	pct_range
noreuse	C3	kirfel_ppl_textgruppe_II_col1	20.00
noreuse	C3	kirfel_ppl_textgruppe_I_col1	22.40
noreuse	C3	kirfel_ppl_textgruppe_Ia_col1	48.80
noreuse	C3	kirfel_ppl_ungrouped_col1	17.60
noreuse	C3	kurmapurana_khanda-1_u	14.40
noreuse	C3	kurmapurana_khanda-2_u	14.40
noreuse	C3	lingapurana_khanda-1_u	7.20
noreuse	C3	lingapurana_khanda-2_u	9.60
noreuse	C3	mahabharata_01-adiparvan	4.80
noreuse	C3	mahabharata_02-appendix-21_sisupala	4.00
noreuse	C3	mahabharata_02-sabhaparvan	4.00
noreuse	C3	mahabharata_03-aranyakaparvan	3.20
noreuse	C3	mahabharata_04-virataparvan	0.80
noreuse	C3	mahabharata_05-udyogaparvan	2.40
noreuse	C3	mahabharata_06-bhismaparvan	0.80
noreuse	C3	mahabharata_07-appendix-08_sodasarajika	6.40
noreuse	C3	mahabharata_07-dronaparvan	3.20
noreuse	C3	mahabharata_08-karnaparvan	0.80
noreuse	C3	mahabharata_09-salyaparvan	3.20
noreuse	C3	mahabharata_10-sauptikaparvan	0.80
noreuse	C3	mahabharata_11-striparvan	0.00
noreuse	C3	mahabharata_12-appendix-29_moksadharma	19.20
noreuse	C3	mahabharata_12-santiparvan	4.00
noreuse	C3	mahabharata_13-anusasanaparvan	3.20
noreuse	C3	mahabharata_13-appendix-15_umamahesvara	18.40
noreuse	C3	mahabharata_14-appendix-04_vaisnavadharma	1.60
noreuse	C3	mahabharata_14-asvamedhikaparvan	3.20
noreuse	C3	mahabharata_15-asramavasikaparvan	7.20
noreuse	C3	mahabharata_16-mausalaparvan	0.00
noreuse	C3	mahabharata_17-mahaprasthanikaparvan	22.40
noreuse	C3	mahabharata_18-svargarohanaparvan	11.20
noreuse	C3	markandeyapurana	2.40
noreuse	C3	markandeyapurana_adhyaya-1-80_u	6.40
noreuse	C3	markandeyapurana_adhyaya-81-93_devimahatmya_u	2.40
noreuse	C3	markandeyapurana_adhyaya-94-141_u	3.20
noreuse	C3	matsyapurana_pu	0.80
noreuse	C3	naradapurana_khanda-1_u	17.60
noreuse	C3	naradapurana_khanda-2_u	28.00
noreuse	C3	nilamatapurana_au	11.20
noreuse	C3	nrsimhapurana_pu	16.00
noreuse	C3	padmapurana_a	19.20
noreuse	C3	pranavakalpa	6.40
noreuse	C3	ramayana_01-balakanda	5.60
noreuse	C3	ramayana_02-ayodhyakanda_a	5.60
noreuse	C3	ramayana_03-aranyakanda_a	15.20
noreuse	C3	ramayana_04-kiskindhakanda	10.40
noreuse	C3	ramayana_05-sundarakanda	12.00
noreuse	C3	ramayana_06-yuddhakanda	13.60
noreuse	C3	ramayana_07-uttarakanda	8.80
noreuse	C3	saurapurana	14.40
noreuse	C3	sivadharmasastra	2.40
noreuse	C3	sivadharmottara	3.20
noreuse	C3	sivapurana_dharmasamhita	13.60
noreuse	C3	sivapurana_karvanamahatmya_au	3.20
noreuse	C3	sivapurana_rudrasamhita	33.60
noreuse	C3	sivapurana_sanatkumarasamhita	8.00
noreuse	C3	sivapurana_satarudrasamhita_au	15.20
noreuse	C3	sivapurana_umasamhita	9.60
noreuse	C3	sivapurana_vayaviyasamhita_au	16.80
noreuse	C3	sivapurana_vidyesvarasamhita_au	6.40
noreuse	C3	skandamahapurana_himavatkhanda	8.00
noreuse	C3	skandamahapurana_kasikhanda	19.20
noreuse	C3	skandamahapurana_revakhanda	0.80
noreuse	C3	skandamahapurana_sutasamhita_khanda-4	6.40
noreuse	C3	skandapurana	5.60
noreuse	C3	skandapurana_adhyaya-1-31_pu	1.60
noreuse	C3	skandapurana_pasupata_adhyaya174-183_u	0.80
noreuse	C3	vamanapurana_saromahatmya_u	9.60
noreuse	C3	vamanapurana_u	14.40
noreuse	C3	vayupurana	8.80
noreuse	C3	vayupurana_01_frame-and-cosmogony_iast	23.20
noreuse	C3	vayupurana_02_pashupata-yoga_iast	3.20
noreuse	C3	vayupurana_03_kalpas-and-shiva-lineages_iast	26.40
noreuse	C3	vayupurana_04_bhuvana-vinyasa_iast	22.40
noreuse	C3	vayupurana_05_jyotis-and-purvardha-close_iast	33.60
noreuse	C3	vayupurana_06_prthu-and-prajapati-lineages_iast	40.00
noreuse	C3	vayupurana_07_shraddha-kalpa_iast	16.80
noreuse	C3	vayupurana_08_manu-candra-vishnu-vamsha_iast	60.00
noreuse	C3	vayupurana_09_upasamhara_iast	2.40
noreuse	C3	vayupurana_10_gaya-mahatmya_iast	7.20
noreuse	C3	vayupurana_revakhanda	16.00
noreuse	C3	visnudharma_pu	2.40
noreuse	C3	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	9.60
noreuse	C3	visnupurana_amsa-1_u	12.80
noreuse	C3	visnupurana_amsa-2_u	24.80
noreuse	C3	visnupurana_amsa-3_u	14.40
noreuse	C3	visnupurana_amsa-4_u	17.60
noreuse	C3	visnupurana_amsa-5_u	10.40
noreuse	C3	visnupurana_amsa-6_u	48.80
noreuse	C3	visnupurana_u	18.40
