a	b	containment	matched_a	matched_b	units_a	units_b
bhagavatapurana_skandha-02_u	garudapurana_khanda-2_u	0.00723	4	4	553	4002
lingapurana_khanda-1_u	vamanapurana_saromahatmya_u	0.00718	12	10	9897	1672
mahabharata_12-santiparvan	vamanapurana_saromahatmya_u	0.00718	12	10	17549	1672
brahmandapurana_khanda-1_u	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.00717	20	20	5558	2789
padmapurana_a	skandamahapurana_sutasamhita_khanda-4	0.00713	16	6	69897	2245
brahmandapurana_khanda-3_u	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00708	14	14	6367	1977
markandeyapurana_adhyaya-1-93_u	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00708	13	14	6627	1977
mahabharata_03-aranyakaparvan	skandamahapurana_revakhanda	0.00707	67	65	14972	9473
kurmapurana_khanda-2_u	skandapurana	0.00706	25	28	3965	14008
devipurana	vayu_ba	0.00705	45	46	6526	9763
brahmandapurana	mahabharata_13-anusasanaparvan	0.00703	60	65	18962	9240
agnipurana_u	lingapurana_khanda-1_u	0.00697	69	62	15548	9897
mahabharata_13-anusasanaparvan	vayupurana_09_upasamhara_iast	0.00694	9	6	9240	1296
markandeyapurana_adhyaya-1-93_u	vayupurana_09_upasamhara_iast	0.00694	9	9	6627	1296
devibhagavatapurana	kurmapurana_khanda-1_u	0.00693	34	33	28831	4907
brahmandapurana_khanda-1_u	nrsimhapurana_pu	0.00693	36	33	5558	5197
mahabharata_12-santiparvan	sivapurana_dharmasamhita	0.00692	49	48	17549	7078
ramayana_01-balakanda	ramayana_07-uttarakanda	0.00692	18	19	2746	3777
brahmandapurana_khanda-2_u	vayupurana_05_jyotis-and-purvardha-close_iast	0.00687	14	14	8444	2037
sivapurana_vayaviyasamhita_au	vayupurana_05_jyotis-and-purvardha-close_iast	0.00687	13	14	5811	2037
mahabharata_03-aranyakaparvan	mahabharata_04-virataparvan	0.00686	19	17	14972	2768
lingapurana_khanda-2_u	padmapurana_a	0.00686	21	23	3353	69897
bhavisyapurana	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00685	13	13	39479	1899
padmapurana_a	sivapurana_satarudrasamhita_au	0.00680	10	6	69897	1470
sivapurana_rudrasamhita	sivapurana_satarudrasamhita_au	0.00680	10	10	14705	1470
kurmapurana_khanda-1_u	sivapurana_sanatkumarasamhita	0.00680	26	33	4907	4856
mahabharata_02-sabhaparvan	matsyapurana_adhyaya-1-176_pu	0.00676	24	24	3548	12151
bhagavatapurana_skandha-06_u	padmapurana_a	0.00672	8	8	1190	69897
sivapurana_dharmasamhita	sivapurana_vayaviyasamhita_au	0.00671	39	39	7078	5811
agnipurana_u	saurapurana	0.00671	34	31	15548	5067
markandeyapurana_adhyaya-1-93_u	saurapurana	0.00671	32	34	6627	5067
brahmapurana_pu	mahabharata_09-salyaparvan	0.00669	33	33	20147	4933
sivapurana_umasamhita	vayupurana_04_bhuvana-vinyasa_iast	0.00668	10	11	3946	1646
agnipurana_u	vayupurana_02_pashupata-yoga_iast	0.00667	3	3	15548	450
bhavisyapurana	vayupurana_02_pashupata-yoga_iast	0.00667	3	2	39479	450
mahabharata_13-anusasanaparvan	vayupurana_02_pashupata-yoga_iast	0.00667	3	3	9240	450
mahabharata_14-asvamedhikaparvan	vayupurana_02_pashupata-yoga_iast	0.00667	3	2	3764	450
skandamahapurana_sutasamhita_khanda-4	vayupurana_02_pashupata-yoga_iast	0.00667	3	3	2245	450
vayupurana_02_pashupata-yoga_iast	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.00667	3	3	450	2789
vayupurana_02_pashupata-yoga_iast	visnudharma_pu	0.00667	3	3	450	6061
brahmandapurana_khanda-1_u	brahmandapurana_khanda-3_u	0.00666	37	33	5558	6367
matsyapurana_adhyaya-1-176_pu	skandamahapurana_revakhanda	0.00665	61	63	12151	9473
mahabharata_14-asvamedhikaparvan	vayupurana	0.00664	24	25	3764	15778
mahabharata_13-anusasanaparvan	vayu_ba	0.00660	61	56	9240	9763
vayupurana_07_shraddha-kalpa_iast	vayupurana_10_gaya-mahatmya_iast	0.00659	5	6	1424	910
devibhagavatapurana	sivapurana_sanatkumarasamhita	0.00659	32	30	28831	4856
brahmapurana_pu	vayupurana_revakhanda	0.00658	61	68	20147	10332
mahabharata_13-anusasanaparvan	vamanapurana_saromahatmya_u	0.00658	11	9	9240	1672
bhavisyapurana	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00658	13	9	39479	1977
sivapurana_vayaviyasamhita_au	skandapurana_adhyaya-1-31_pu	0.00657	15	15	5811	2282
mahabharata_04-virataparvan	mahabharata_05-udyogaparvan	0.00650	16	18	2768	8791
brahmandapurana_khanda-3_u	garudapurana_khanda-2_u	0.00650	26	26	6367	4002
brahmandapurana_khanda-1_u	mahabharata_12-santiparvan	0.00648	36	34	5558	17549
bhavisyapurana	kalikapurana	0.00648	81	55	39479	12508
mahabharata_06-bhismaparvan	mahabharata_12-santiparvan	0.00644	46	51	7923	17549
garudapurana_khanda-1_u	visnudharma_pu	0.00643	38	39	11277	6061
vayupurana	visnudharma_pu	0.00643	39	29	15778	6061
agnipurana_u	vayupurana_05_jyotis-and-purvardha-close_iast	0.00638	13	13	15548	2037
brahmandapurana	mahabharata_14-asvamedhikaparvan	0.00638	23	24	18962	3764
mahabharata_03-aranyakaparvan	mahabharata_05-udyogaparvan	0.00637	56	53	14972	8791
garudapurana_khanda-1_u	vamanapurana_u	0.00637	42	42	11277	6598
mahabharata_07-dronaparvan	mahabharata_11-striparvan	0.00633	7	6	11774	1106
agnipurana_u	vayupurana_07_shraddha-kalpa_iast	0.00632	8	9	15548	1424
vayupurana_07_shraddha-kalpa_iast	visnupurana_u	0.00632	9	9	1424	7383
saurapurana	vayupurana_revakhanda	0.00632	30	32	5067	10332
saurapurana	visnupurana_u	0.00632	31	32	5067	7383
bhavisyapurana	lingapurana_khanda-2_u	0.00626	21	21	39479	3353
garudapurana_khanda-2_u	naradapurana_khanda-1_u	0.00625	25	21	4002	19022
bhagavatapurana_skandha-08_u	brahmandapurana	0.00623	6	8	1285	18962
bhavisyapurana	sivapurana_vidyesvarasamhita_au	0.00620	14	10	39479	2259
naradapurana_khanda-1_u	nilamatapurana_au	0.00619	13	13	19022	2100
nilamatapurana_au	vayupurana	0.00619	13	13	2100	15778
agnipurana_u	vayupurana_09_upasamhara_iast	0.00617	8	8	15548	1296
garudapurana_khanda-1_u	lingapurana_khanda-1_u	0.00616	57	61	11277	9897
brahmandapurana_khanda-2_u	mahabharata_12-santiparvan	0.00616	52	52	8444	17549
kurmapurana_khanda-1_u	mahabharata_03-aranyakaparvan	0.00611	30	28	4907	14972
agnipurana_u	naradapurana_khanda-2_u	0.00608	22	22	15548	3616
bhavisyapurana	vayupurana_04_bhuvana-vinyasa_iast	0.00608	9	10	39479	1646
sivapurana_sanatkumarasamhita	vayupurana_04_bhuvana-vinyasa_iast	0.00608	10	9	4856	1646
nrsimhapurana_pu	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00607	11	12	5197	1977
kurmapurana_khanda-2_u	sivapurana_sanatkumarasamhita	0.00605	21	24	3965	4856
garudapurana_khanda-1_u	matsyapurana_adhyaya-1-176_pu	0.00603	65	68	11277	12151
mahabharata_12-santiparvan	sivapurana_vayaviyasamhita_au	0.00602	35	32	17549	5811
skandamahapurana_kasikhanda	skandamahapurana_revakhanda	0.00602	55	57	18539	9473
kurmapurana_khanda-1_u	vamanapurana_saromahatmya_u	0.00598	9	10	4907	1672
mahabharata_13-anusasanaparvan	sivapurana_sanatkumarasamhita	0.00597	24	29	9240	4856
garudapurana_khanda-2_u	garudapurana_khanda-3_u	0.00595	18	2	4002	3026
garudapurana_khanda-1_u	mahabharata_12-santiparvan	0.00594	65	67	11277	17549
bhagavatapurana_skandha-12_u	brahmandapurana_khanda-2_u	0.00594	5	5	842	8444
bhagavatapurana_skandha-06_u	sivapurana_rudrasamhita	0.00588	7	7	1190	14705
mahabharata_14-asvamedhikaparvan	naradapurana_khanda-1_u	0.00584	20	22	3764	19022
mahabharata_14-asvamedhikaparvan	padmapurana_a	0.00584	19	22	3764	69897
devibhagavatapurana	naradapurana_khanda-1_u	0.00584	111	104	28831	19022
agnipurana_u	bhagavatapurana_skandha-09_u	0.00581	8	7	15548	1376
mahabharata_05-udyogaparvan	mahabharata_06-bhismaparvan	0.00581	44	46	8791	7923
brahmandapurana_khanda-2_u	devibhagavatapurana	0.00580	48	49	8444	28831
vamanapurana_saromahatmya_u	vayupurana_01_frame-and-cosmogony_iast	0.00579	6	8	1672	1381
vayupurana_01_frame-and-cosmogony_iast	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00579	7	8	1381	1899
sivapurana_dharmasamhita	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00579	11	11	7078	1899
sivapurana_sanatkumarasamhita	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00579	11	7	4856	1899
nrsimhapurana_pu	visnudharma_pu	0.00577	29	30	5197	6061
devibhagavatapurana	skandamahapurana_kasikhanda	0.00577	91	107	28831	18539
vamanapurana_u	vayupurana	0.00576	38	38	6598	15778
garudapurana_khanda-2_u	skandamahapurana_revakhanda	0.00575	22	23	4002	9473
mahabharata_13-anusasanaparvan	skandamahapurana_revakhanda	0.00574	52	53	9240	9473
agnipurana_u	skandapurana_adhyaya-1-31_pu	0.00570	10	13	15548	2282
padmapurana_a	skandapurana_adhyaya-1-31_pu	0.00570	13	10	69897	2282
agnipurana_u	mahabharata_06-bhismaparvan	0.00568	45	44	15548	7923
mahabharata_06-bhismaparvan	mahabharata_15-asramavasikaparvan	0.00565	9	8	7923	1594
brahmandapurana_khanda-2_u	mahabharata_13-anusasanaparvan	0.00557	43	47	8444	9240
mahabharata_13-anusasanaparvan	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00556	11	11	9240	1977
devipurana	sivapurana_sanatkumarasamhita	0.00556	27	21	6526	4856
sivapurana_sanatkumarasamhita	skandamahapurana_revakhanda	0.00556	27	21	4856	9473
sivapurana_sanatkumarasamhita	visnudharma_pu	0.00556	27	21	4856	6061
mahabharata_12-santiparvan	visnupurana_u	0.00555	41	41	17549	7383
agnipurana_u	devibhagavatapurana_devigita_adhyaya-31-40	0.00549	4	4	15548	728
bhavisyapurana	vayupurana_10_gaya-mahatmya_iast	0.00549	4	5	39479	910
devibhagavatapurana_devigita_adhyaya-31-40	garudapurana_khanda-1_u	0.00549	4	4	728	11277
mahabharata_01-adiparvan	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.00549	2	2	10506	364
mahabharata_06-bhismaparvan	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.00549	2	2	7923	364
vamanapurana_u	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.00549	2	2	6598	364
vayupurana_04_bhuvana-vinyasa_iast	vayupurana_10_gaya-mahatmya_iast	0.00549	5	5	1646	910
garudapurana_khanda-1_u	vayupurana_04_bhuvana-vinyasa_iast	0.00547	8	9	11277	1646
kalikapurana	vayupurana_04_bhuvana-vinyasa_iast	0.00547	4	9	12508	1646
agnipurana_u	brahmandapurana_khanda-2_u	0.00545	46	44	15548	8444
bhagavatapurana_skandha-08_u	padmapurana_a	0.00545	6	7	1285	69897
markandeyapurana_adhyaya-1-93_u	skandapurana	0.00543	22	36	6627	14008
mahabharata_03-aranyakaparvan	mahabharata_06-bhismaparvan	0.00543	43	43	14972	7923
bhagavatapurana_skandha-02_u	brahmapurana_pu	0.00542	3	2	553	20147
bhagavatapurana_skandha-02_u	padmapurana_a	0.00542	3	2	553	69897
bhavisyapurana	mahabharata_03-aranyakaparvan	0.00541	81	76	39479	14972
lingapurana_khanda-1_u	vayupurana_09_upasamhara_iast	0.00540	7	7	9897	1296
sivapurana_vayaviyasamhita_au	vayupurana_09_upasamhara_iast	0.00540	7	7	5811	1296
skandamahapurana_revakhanda	vayupurana_09_upasamhara_iast	0.00540	7	5	9473	1296
brahmandapurana_khanda-1_u	vamanapurana_u	0.00540	30	30	5558	6598
padmapurana_a	ramayana_06-yuddhakanda	0.00539	35	30	69897	6491
agnipurana_u	vamanapurana_saromahatmya_u	0.00538	9	9	15548	1672
sivapurana_sanatkumarasamhita	vamanapurana_saromahatmya_u	0.00538	9	4	4856	1672
skandamahapurana_kasikhanda	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.00538	15	15	18539	2789
devibhagavatapurana	sivapurana_dharmasamhita	0.00537	38	35	28831	7078
agnipurana_u	devipurana	0.00536	35	34	15548	6526
mahabharata_01-adiparvan	mahabharata_02-sabhaparvan	0.00536	19	18	10506	3548
mahabharata_14-asvamedhikaparvan	vayu_ba	0.00531	18	20	3764	9763
naradapurana_khanda-1_u	sivapurana_vidyesvarasamhita_au	0.00531	12	9	19022	2259
brahmapurana_pu	naradapurana_khanda-1_u	0.00531	101	96	20147	19022
mahabharata_07-dronaparvan	mahabharata_13-anusasanaparvan	0.00530	49	47	11774	9240
brahmandapurana	mahabharata_12-santiparvan	0.00530	93	87	18962	17549
kurmapurana_khanda-1_u	mahabharata_12-santiparvan	0.00530	24	26	4907	17549
kurmapurana_khanda-1_u	skandamahapurana_revakhanda	0.00530	23	26	4907	9473
mahabharata_03-aranyakaparvan	matsyapurana_adhyaya-1-176_pu	0.00527	58	64	14972	12151
garudapurana_khanda-1_u	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00527	9	10	11277	1899
garudapurana_khanda-2_u	skandamahapurana_kasikhanda	0.00525	19	21	4002	18539
brahmandapurana_khanda-2_u	nilamatapurana_au	0.00524	11	11	8444	2100
nilamatapurana_au	vayu_ba	0.00524	11	11	2100	9763
garudapurana_khanda-1_u	skandamahapurana_kasikhanda	0.00523	56	59	11277	18539
nrsimhapurana_pu	sivapurana_dharmasamhita	0.00520	24	27	5197	7078
brahmandapurana	vamanapurana_u	0.00515	34	33	18962	6598
mahabharata_12-santiparvan	sivapurana_sanatkumarasamhita	0.00515	24	25	17549	4856
brahmandapurana	saurapurana	0.00513	25	26	18962	5067
bhavisyapurana	mahabharata_12-santiparvan	0.00513	90	89	39479	17549
devibhagavatapurana	vayu_ba	0.00512	50	49	28831	9763
mahabharata_03-aranyakaparvan	vayu_ba	0.00512	45	50	14972	9763
ramayana_01-balakanda	ramayana_02-ayodhyakanda_a	0.00510	14	14	2746	4574
agnipurana_u	sivapurana_karvanamahatmya_au	0.00509	2	2	15548	393
bhavisyapurana	sivapurana_karvanamahatmya_au	0.00509	2	2	39479	393
garudapurana_khanda-1_u	sivapurana_karvanamahatmya_au	0.00509	2	2	11277	393
mahabharata_01-adiparvan	sivapurana_karvanamahatmya_au	0.00509	2	1	10506	393
mahabharata_12-santiparvan	sivapurana_karvanamahatmya_au	0.00509	2	1	17549	393
naradapurana_khanda-1_u	sivapurana_karvanamahatmya_au	0.00509	2	2	19022	393
brahmandapurana_khanda-2_u	vayupurana_01_frame-and-cosmogony_iast	0.00507	7	7	8444	1381
devibhagavatapurana	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00506	10	10	28831	1977
kurmapurana_khanda-2_u	mahabharata_13-anusasanaparvan	0.00504	20	20	3965	9240
mahabharata_05-udyogaparvan	mahabharata_15-asramavasikaparvan	0.00502	8	7	8791	1594
mahabharata_12-santiparvan	mahabharata_15-asramavasikaparvan	0.00502	8	6	17549	1594
matsyapurana_adhyaya-1-176_pu	nrsimhapurana_pu	0.00500	26	24	12151	5197
garudapurana_khanda-2_u	visnupurana_u	0.00500	20	19	4002	7383
naradapurana_khanda-1_u	naradapurana_khanda-2_u	0.00498	18	15	19022	3616
garudapurana_khanda-3_u	padmapurana_a	0.00496	10	15	3026	69897
garudapurana_khanda-1_u	vayupurana_revakhanda	0.00494	45	51	11277	10332
devibhagavatapurana	saurapurana	0.00493	25	24	28831	5067
garudapurana_khanda-1_u	saurapurana	0.00493	25	24	11277	5067
matsyapurana_adhyaya-1-176_pu	saurapurana	0.00493	24	25	12151	5067
nrsimhapurana_pu	saurapurana	0.00493	24	25	5197	5067
saurapurana	skandamahapurana_revakhanda	0.00493	25	25	5067	9473
vayupurana_05_jyotis-and-purvardha-close_iast	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.00491	10	10	2037	2789
kalikapurana	skandamahapurana_kasikhanda	0.00488	22	61	12508	18539
saurapurana	sivapurana_vidyesvarasamhita_au	0.00487	11	10	5067	2259
mahabharata_01-adiparvan	mahabharata_16-mausalaparvan	0.00483	2	1	10506	414
mahabharata_03-aranyakaparvan	mahabharata_16-mausalaparvan	0.00483	2	2	14972	414
mahabharata_05-udyogaparvan	mahabharata_16-mausalaparvan	0.00483	2	2	8791	414
mahabharata_16-mausalaparvan	naradapurana_khanda-1_u	0.00483	1	2	414	19022
mahabharata_16-mausalaparvan	ramayana_06-yuddhakanda	0.00483	2	2	414	6491
mahabharata_16-mausalaparvan	sivapurana_dharmasamhita	0.00483	1	2	414	7078
mahabharata_16-mausalaparvan	sivapurana_sanatkumarasamhita	0.00483	1	2	414	4856
mahabharata_16-mausalaparvan	visnudharma_pu	0.00483	1	2	414	6061
mahabharata_12-santiparvan	markandeyapurana_adhyaya-1-93_u	0.00483	32	30	17549	6627
garudapurana_khanda-1_u	sivapurana_vayaviyasamhita_au	0.00482	28	28	11277	5811
nrsimhapurana_pu	vayupurana_revakhanda	0.00481	25	25	5197	10332
kurmapurana_khanda-2_u	mahabharata_12-santiparvan	0.00479	14	19	3965	17549
mahabharata_02-sabhaparvan	vayupurana	0.00479	12	17	3548	15778
brahmandapurana_khanda-1_u	vamanapurana_saromahatmya_u	0.00478	8	7	5558	1672
devibhagavatapurana	vamanapurana_saromahatmya_u	0.00478	8	8	28831	1672
kurmapurana_khanda-2_u	vamanapurana_saromahatmya_u	0.00478	8	8	3965	1672
vayu_ba	visnudharma_pu	0.00478	29	23	9763	6061
devibhagavatapurana	mahabharata_05-udyogaparvan	0.00478	42	41	28831	8791
mahabharata_01-adiparvan	mahabharata_05-udyogaparvan	0.00478	41	42	10506	8791
mahabharata_05-udyogaparvan	mahabharata_07-dronaparvan	0.00478	40	42	8791	11774
matsyapurana_adhyaya-1-176_pu	nilamatapurana_au	0.00476	10	10	12151	2100
bhagavatapurana_skandha-10_u	bhagavatapurana_skandha-12_u	0.00475	4	2	5997	842
bhagavatapurana_skandha-12_u	matsyapurana_adhyaya-1-176_pu	0.00475	2	4	842	12151
bhagavatapurana_skandha-12_u	padmapurana_a	0.00475	4	4	842	69897
lingapurana_khanda-1_u	skandamahapurana_revakhanda	0.00475	45	44	9897	9473
saurapurana	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00474	9	6	5067	1899
skandapurana	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00474	9	9	14008	1899
sivapurana_sanatkumarasamhita	vayupurana_revakhanda	0.00474	23	19	4856	10332
kurmapurana_khanda-1_u	naradapurana_khanda-1_u	0.00469	20	23	4907	19022
garudapurana_khanda-1_u	vayupurana_09_upasamhara_iast	0.00463	6	6	11277	1296
mahabharata_01-adiparvan	vayupurana_09_upasamhara_iast	0.00463	6	5	10506	1296
mahabharata_03-aranyakaparvan	vayupurana_09_upasamhara_iast	0.00463	6	5	14972	1296
vayupurana_09_upasamhara_iast	vayupurana_revakhanda	0.00463	4	6	1296	10332
mahabharata_01-adiparvan	ramayana_03-aranyakanda_a	0.00463	15	15	10506	3241
ramayana_03-aranyakanda_a	ramayana_05-sundarakanda	0.00463	15	12	3241	3659
mahabharata_01-adiparvan	mahabharata_12-santiparvan	0.00457	48	47	10506	17549
brahmandapurana_khanda-3_u	sivapurana_umasamhita	0.00456	18	16	6367	3946
markandeyapurana_adhyaya-1-93_u	sivapurana_umasamhita	0.00456	18	17	6627	3946
nilamatapurana_au	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00455	9	9	2100	1977
vayupurana_05_jyotis-and-purvardha-close_iast	vayupurana_06_prthu-and-prajapati-lineages_iast	0.00455	8	9	2037	1977
ramayana_04-kiskindhakanda	ramayana_05-sundarakanda	0.00455	8	13	2856	3659
skandamahapurana_revakhanda	vamanapurana_u	0.00455	30	29	9473	6598
vamanapurana_u	vayu_ba	0.00455	30	30	6598	9763
mahabharata_03-aranyakaparvan	naradapurana_khanda-1_u	0.00454	63	68	14972	19022
brahmandapurana_khanda-2_u	kurmapurana_khanda-2_u	0.00454	18	16	8444	3965
kurmapurana_khanda-2_u	mahabharata_06-bhismaparvan	0.00454	18	18	3965	7923
saurapurana	sivapurana_dharmasamhita	0.00454	23	21	5067	7078
mahabharata_08-karnaparvan	mahabharata_10-sauptikaparvan	0.00453	5	2	5713	1104
bhavisyapurana	mahabharata_14-asvamedhikaparvan	0.00452	17	15	39479	3764
mahabharata_07-dronaparvan	mahabharata_14-asvamedhikaparvan	0.00452	17	16	11774	3764
garudapurana_khanda-2_u	mahabharata_12-santiparvan	0.00450	14	18	4002	17549
brahmandapurana	vayupurana_02_pashupata-yoga_iast	0.00444	2	2	18962	450
brahmandapurana_khanda-1_u	vayupurana_02_pashupata-yoga_iast	0.00444	2	2	5558	450
garudapurana_khanda-1_u	vayupurana_02_pashupata-yoga_iast	0.00444	2	2	11277	450
mahabharata_07-dronaparvan	vayupurana_02_pashupata-yoga_iast	0.00444	2	1	11774	450
skandamahapurana_revakhanda	vayupurana_02_pashupata-yoga_iast	0.00444	2	2	9473	450
skandapurana	vayupurana_02_pashupata-yoga_iast	0.00444	2	1	14008	450
vamanapurana_saromahatmya_u	vayupurana_02_pashupata-yoga_iast	0.00444	2	2	1672	450
vayupurana_02_pashupata-yoga_iast	vayupurana_05_jyotis-and-purvardha-close_iast	0.00444	2	2	450	2037
mahabharata_03-aranyakaparvan	mahabharata_13-anusasanaparvan	0.00444	41	41	14972	9240
sivapurana_sanatkumarasamhita	sivapurana_vidyesvarasamhita_au	0.00443	10	8	4856	2259
nrsimhapurana_pu	sivapurana_vayaviyasamhita_au	0.00443	23	22	5197	5811
garudapurana_khanda-1_u	vayupurana_05_jyotis-and-purvardha-close_iast	0.00442	8	9	11277	2037
bhavisyapurana	mahabharata_06-bhismaparvan	0.00442	35	28	39479	7923
kurmapurana_khanda-2_u	vayupurana_10_gaya-mahatmya_iast	0.00440	3	4	3965	910
vayupurana_08_manu-candra-vishnu-vamsha_iast	vayupurana_10_gaya-mahatmya_iast	0.00440	2	4	2789	910
devibhagavatapurana	vamanapurana_u	0.00440	29	29	28831	6598
brahmandapurana_khanda-2_u	garudapurana_khanda-1_u	0.00438	37	36	8444	11277
kalikapurana	markandeyapurana_adhyaya-1-93_u	0.00438	29	23	12508	6627
bhavisyapurana	skandapurana_pasupata_adhyaya174-183_u	0.00437	3	2	39479	686
skandapurana_pasupata_adhyaya174-183_u	vayu_ba	0.00437	1	3	686	9763
skandapurana_pasupata_adhyaya174-183_u	vayupurana	0.00437	1	3	686	15778
bhagavatapurana_skandha-09_u	mahabharata_12-santiparvan	0.00436	4	6	1376	17549
sivapurana_rudrasamhita	vayupurana_01_frame-and-cosmogony_iast	0.00434	6	6	14705	1381
skandapurana_adhyaya-1-31_pu	vayupurana_01_frame-and-cosmogony_iast	0.00434	5	6	2282	1381
vayupurana_01_frame-and-cosmogony_iast	vayupurana_revakhanda	0.00434	6	5	1381	10332
saurapurana	vayu_ba	0.00434	20	22	5067	9763
mahabharata_01-adiparvan	visnupurana_u	0.00433	32	31	10506	7383
padmapurana_a	ramayana_03-aranyakanda_a	0.00432	13	14	69897	3241
sivapurana_sanatkumarasamhita	sivapurana_umasamhita	0.00431	17	16	4856	3946
sivapurana_vayaviyasamhita_au	skandamahapurana_revakhanda	0.00430	25	24	5811	9473
devibhagavatapurana	devipurana	0.00429	28	24	28831	6526
devipurana	skandapurana	0.00429	22	28	6526	14008
matsyapurana_adhyaya-1-176_pu	visnudharma_pu	0.00429	26	21	12151	6061
kurmapurana_khanda-1_u	nilamatapurana_au	0.00429	9	9	4907	2100
mahabharata_01-adiparvan	nilamatapurana_au	0.00429	9	7	10506	2100
nilamatapurana_au	vayupurana_revakhanda	0.00429	8	9	2100	10332
mahabharata_01-adiparvan	mahabharata_03-aranyakaparvan	0.00428	45	44	10506	14972
agnipurana_u	vayupurana_revakhanda	0.00426	41	44	15548	10332
naradapurana_khanda-1_u	vayupurana_revakhanda	0.00426	41	44	19022	10332
agnipurana_u	vamanapurana_u	0.00424	28	28	15548	6598
bhavisyapurana	vamanapurana_u	0.00424	28	24	39479	6598
lingapurana_khanda-1_u	mahabharata_12-santiparvan	0.00424	39	42	9897	17549
matsyapurana_adhyaya-1-176_pu	vamanapurana_u	0.00424	28	28	12151	6598
sivapurana_dharmasamhita	vayupurana_revakhanda	0.00424	25	30	7078	10332
mahabharata_03-aranyakaparvan	ramayana_07-uttarakanda	0.00424	16	15	14972	3777
mahabharata_05-udyogaparvan	ramayana_07-uttarakanda	0.00424	15	16	8791	3777
nrsimhapurana_pu	skandamahapurana_revakhanda	0.00423	22	18	5197	9473
mahabharata_02-sabhaparvan	mahabharata_06-bhismaparvan	0.00423	15	14	3548	7923
mahabharata_02-sabhaparvan	vayu_ba	0.00423	11	15	3548	9763
mahabharata_13-anusasanaparvan	markandeyapurana_adhyaya-1-93_u	0.00423	28	27	9240	6627
agnipurana_u	skandamahapurana_revakhanda	0.00422	38	40	15548	9473
garudapurana_khanda-2_u	vayupurana_07_shraddha-kalpa_iast	0.00421	5	6	4002	1424
mahabharata_12-santiparvan	vayupurana_07_shraddha-kalpa_iast	0.00421	6	6	17549	1424
vayupurana_03_kalpas-and-shiva-lineages_iast	vayupurana_07_shraddha-kalpa_iast	0.00421	6	6	1899	1424
brahmandapurana_khanda-3_u	vayupurana_03_kalpas-and-shiva-lineages_iast	0.00421	8	8	6367	1899
bhagavatapurana_skandha-06_u	mahabharata_12-santiparvan	0.00420	3	5	1190	17549
padmapurana_a	ramayana_04-kiskindhakanda	0.00420	12	11	69897	2856
brahmandapurana_khanda-2_u	vamanapurana_saromahatmya_u	0.00419	6	7	8444	1672
matsyapurana_adhyaya-1-176_pu	vamanapurana_saromahatmya_u	0.00419	7	5	12151	1672
saurapurana	vamanapurana_saromahatmya_u	0.00419	7	5	5067	1672
sivapurana_dharmasamhita	vamanapurana_saromahatmya_u	0.00419	6	7	7078	1672
vamanapurana_saromahatmya_u	visnupurana_u	0.00419	7	7	1672	7383
agnipurana_u	lingapurana_khanda-2_u	0.00418	14	12	15548	3353
garudapurana_khanda-1_u	naradapurana_khanda-2_u	0.00415	15	14	11277	3616
sivapurana_vayaviyasamhita_au	skandapurana	0.00413	22	24	5811	14008
devibhagavatapurana_devigita_adhyaya-31-40	mahabharata_06-bhismaparvan	0.00412	3	3	728	7923
devibhagavatapurana_devigita_adhyaya-31-40	naradapurana_khanda-1_u	0.00412	3	3	728	19022
devibhagavatapurana_devigita_adhyaya-31-40	sivapurana_sanatkumarasamhita	0.00412	3	3	728	4856
devibhagavatapurana_devigita_adhyaya-31-40	sivapurana_vayaviyasamhita_au	0.00412	2	3	728	5811
markandeyapurana_adhyaya-1-93_u	sivapurana_sanatkumarasamhita	0.00412	20	19	6627	4856
bhavisyapurana	mahabharata_01-adiparvan	0.00409	41	43	39479	10506
brahmandapurana_khanda-3_u	padmapurana_a	0.00408	24	26	6367	69897
bhavisyapurana	devibhagavatapurana	0.00406	117	103	39479	28831
mahabharata_12-santiparvan	sivapurana_umasamhita	0.00405	16	15	17549	3946
nrsimhapurana_pu	sivapurana_umasamhita	0.00405	16	16	5197	3946
kurmapurana_khanda-2_u	sivapurana_vayaviyasamhita_au	0.00404	16	16	3965	5811
bhagavatapurana_skandha-03_u	vayupurana	0.00403	4	8	1983	15778
