unit	code	with_est	with_lo	with_hi	noreuse_est	noreuse_lo	noreuse_hi	shift	residue_words	ci_separated
sivapurana_satarudrasamhita_au	Śt	47.6	42.1	56.8	56.0	47.2	74.4	8.399999999999999	5553	False
vayupurana_05_jyotis-and-purvardha-close_iast	V5	84.9	81.0	88.1	93.6	82.4	97.6	8.699999999999989	648	False
sivapurana_umasamhita	U	62.7	57.9	65.1	72.0	67.6	76.0	9.299999999999997	15381	True
vayupurana	V	71.4	67.5	76.2	80.8	78.4	84.8	9.399999999999991	21054	True
vamanapurana_saromahatmya_u	Sr	54.8	50.8	65.9	64.8	51.2	73.6	10.0	5002	False
vayupurana_03_kalpas-and-shiva-lineages_iast	V3	70.6	61.9	75.4	81.6	77.6	92.0	11.0	3357	True
bhagavatapurana_skandha-02_u	Bh2	50.0	41.3	65.1	62.4	46.4	74.4	12.399999999999999	3875	False
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	Vt	42.1	34.9	57.1	56.8	38.8	74.0	14.699999999999996	2221	False
vayupurana_08_manu-candra-vishnu-vamsha_iast	V8	30.2	27.0	32.5	46.4	32.8	72.0	16.2	1064	True
visnupurana_amsa-5_u	Vi5	20.6	17.5	23.0	39.2	34.4	60.8	18.6	2796	True
vayupurana_06_prthu-and-prajapati-lineages_iast	V6	69.8	66.2	80.2	88.8	72.8	96.8	19.0	1421	False
