unit	code	with_est	with_lo	with_hi	noreuse_est	noreuse_lo	noreuse_hi	shift	residue_words	ci_separated
mahabharata_11-striparvan	MBh11	11.1	6.3	15.9	16.0	12.0	20.8	4.9	7051	False
skandapurana_adhyaya-1-31_pu	SP1	31.7	28.6	34.9	36.8	35.6	43.2	5.099999999999998	8675	True
vayupurana_02_pashupata-yoga_iast	V2	92.9	88.9	96.8	98.4	98.4	100.0	5.5	1220	True
bhagavatapurana_skandha-09_u	Bh9	28.6	27.8	34.9	34.4	33.6	42.4	5.799999999999997	8496	False
bhagavatapurana_skandha-01_u	Bh1	42.1	37.3	47.6	48.0	47.6	56.8	5.899999999999999	7558	False
kirfel_ppl_textgruppe_II_col1	Pl2	38.1	31.7	44.1	44.0	43.2	55.2	5.899999999999999	7899	False
kirfel_ppl_textgruppe_IIB_col1	Pl2B	72.2	65.9	81.7	78.4	76.0	85.6	6.200000000000003	13668	False
vayupurana	V	58.7	57.1	61.1	65.6	65.6	75.2	6.8999999999999915	21054	True
kirfel_ppl_textgruppe_IIA_col1	Pl2A	78.6	65.9	85.7	85.6	85.2	90.4	7.0	4868	False
mahabharata_07-appendix-08_sodasarajika	MA7	19.8	15.9	21.4	27.2	26.8	39.6	7.399999999999999	4171	True
kirfel_ppl_textgruppe_I_col1	Pl1	23.8	21.4	27.8	32.0	31.2	37.6	8.2	22022	True
bhagavatapurana_skandha-05_u	Bh5	65.9	61.1	69.0	74.4	72.8	80.8	8.5	9252	True
harivamsa_appendix-42_pradurbhava	HA42	27.0	22.2	27.8	36.0	34.4	42.4	9.0	10991	True
kirfel_ppl_ungrouped_col1	PlU	24.6	21.4	27.8	35.2	32.8	40.8	10.600000000000001	12262	True
kirfel_ppl_textgruppe_III_col1	Pl3	76.2	63.5	85.7	88.0	88.8	94.4	11.799999999999997	2819	True
vayupurana_09_upasamhara_iast	V9	79.4	68.6	85.7	91.2	90.8	98.4	11.799999999999997	1575	True
vayupurana_07_shraddha-kalpa_iast	V7	83.3	71.8	85.7	96.0	95.2	100.0	12.700000000000003	894	True
markandeyapurana_adhyaya-81-93_devimahatmya_u	MāD	27.8	27.8	31.7	40.8	42.4	52.0	12.999999999999996	4826	True
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	Bh10c	57.9	52.4	62.7	72.8	70.8	80.0	14.899999999999999	6870	True
brahmandapurana_khanda-1_u	Bḍ1	65.1	61.9	66.7	80.0	80.8	88.8	14.900000000000006	4098	True
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	Vt	36.5	27.8	43.7	52.0	56.4	74.4	15.5	2221	True
visnupurana_amsa-4_u	Vi4	38.9	34.9	43.7	54.4	52.8	64.0	15.5	8910	True
vayupurana_03_kalpas-and-shiva-lineages_iast	V3	52.4	45.2	57.1	68.0	71.2	85.2	15.600000000000001	3357	True
mahabharata_12-appendix-29_moksadharma	MA12	40.5	33.3	47.6	56.8	53.6	65.6	16.299999999999997	6223	True
kirfel_ppl_textgruppe_Ia_col1	Pl1a	48.4	42.1	57.1	64.8	64.8	78.0	16.4	5654	True
