trigram	abs_rho_x	junction_share	final_share	particle_share	pronoun_share	verb_narrative_share	verb_prescriptive_share	numeral_list_share	content_share
vāp	0.2283	0.425	0.000	0.325	0.000	0.148	0.036	0.022	0.469
tyā	0.2281	0.033	0.353	0.002	0.000	0.002	0.003	0.032	0.961
nti	0.2264	0.000	0.828	0.000	0.000	0.000	0.001	0.004	0.995
mad	0.2259	0.120	0.009	0.017	0.012	0.004	0.004	0.008	0.955
aṃc	0.2235	0.910	0.000	0.008	0.019	0.001	0.001	0.025	0.946
rma	0.2231	0.084	0.084	0.000	0.005	0.000	0.002	0.007	0.986
aṃy	0.2207	0.752	0.000	0.017	0.014	0.000	0.001	0.016	0.952
vay	0.2202	0.079	0.000	0.030	0.234	0.006	0.010	0.010	0.710
air	0.2197	0.032	0.416	0.009	0.001	0.002	0.004	0.022	0.962
vin	0.2195	0.010	0.001	0.086	0.000	0.000	0.034	0.007	0.873
akṛ	0.2185	0.361	0.000	0.040	0.000	0.008	0.004	0.015	0.934
cit	0.2179	0.001	0.135	0.126	0.000	0.003	0.002	0.007	0.861
āya	0.2167	0.111	0.355	0.034	0.012	0.004	0.002	0.011	0.937
amā	0.2160	0.197	0.028	0.013	0.029	0.001	0.020	0.029	0.908
api	0.2153	0.145	0.315	0.268	0.000	0.003	0.002	0.017	0.711
thā	0.2152	0.000	0.497	0.388	0.000	0.005	0.003	0.009	0.595
akṣ	0.2148	0.043	0.000	0.000	0.000	0.002	0.006	0.016	0.976
yay	0.2143	0.233	0.000	0.005	0.038	0.104	0.015	0.009	0.829
ima	0.2129	0.406	0.002	0.020	0.033	0.005	0.009	0.011	0.922
and	0.2124	0.040	0.000	0.000	0.000	0.002	0.003	0.016	0.979
ṃva	0.2120	0.910	0.003	0.120	0.011	0.003	0.009	0.002	0.855
hās	0.2112	0.225	0.046	0.140	0.000	0.002	0.001	0.018	0.839
aṅg	0.2102	0.002	0.000	0.000	0.000	0.002	0.004	0.034	0.960
apa	0.2085	0.249	0.014	0.003	0.000	0.002	0.005	0.037	0.953
ram	0.2076	0.039	0.277	0.019	0.000	0.003	0.004	0.037	0.937
may	0.2069	0.055	0.000	0.003	0.291	0.005	0.006	0.010	0.685
sva	0.2068	0.006	0.047	0.009	0.042	0.001	0.004	0.008	0.936
has	0.2059	0.111	0.027	0.056	0.000	0.011	0.001	0.104	0.827
rāṇ	0.2049	0.001	0.001	0.000	0.000	0.001	0.003	0.019	0.977
ṅga	0.2045	0.002	0.032	0.002	0.000	0.001	0.003	0.026	0.968
