feature	rho_x
cit	-0.3922
lokān	-0.3854
priya	-0.3832
kṛta	-0.3759
varam	-0.3751
mahān	-0.3746
sutaḥ	-0.3715
kṛtaḥ	-0.3695
gatim	-0.3682
rāmaḥ	-0.3663
katham	-0.3652
mayā	-0.3634
bhīṣmaḥ	-0.3632
putrāḥ	-0.3627
śakra	-0.3623
vana	-0.3620
imam	-0.3556
āsādya	-0.3547
svam	-0.3536
gaja	-0.3517
satya	-0.3512
bhavān	-0.3481
tvam	-0.3469
su	-0.3460
putra	-0.3452
rāma	-0.3445
sarve	-0.3406
hā	-0.3405
sarvaśas	-0.3393
muhur	-0.3378
karmaṇā	-0.3377
aśva	-0.3322
bhayam	-0.3239
gṛhītvā	-0.3220
pitā	-0.3181
gataḥ	-0.3181
varaḥ	-0.3179
duḥkha	-0.3137
bhuvi	-0.3109
indra	-0.3105
yadi	-0.3102
kula	-0.3097
bhūmau	-0.3082
dharmam	-0.3040
iyam	-0.3024
kila	-0.3017
vaḥ	-0.3004
na	-0.2983
kṛtam	-0.2971
tvad	-0.2943
gatvā	-0.2887
parama	-0.2810
uktaḥ	-0.2793
mahī	-0.2771
indraḥ	-0.2704
sarvāḥ	-0.2684
dadau	-0.2684
kālam	-0.2541
śaraṇam	-0.2529
āśu	-0.2522
bhaviṣyati	-0.2503
bahu	-0.2495
bhaya	-0.2491
gatāḥ	-0.2460
vara	-0.2440
āgataḥ	-0.2388
eṣā	-0.2376
dānava	-0.2370
nṛpaḥ	-0.2366
mudā	-0.2353
dharma	-0.2350
kāmam	-0.2337
yathā	-0.2310
yam	-0.2279
prabho	-0.2240
bhāryā	-0.2233
ṛṣi	-0.2207
sama	-0.2190
duḥkham	-0.2110
anye	-0.2104
ṛṣiḥ	-0.2042
kṛṣṇaḥ	-0.2036
a	-0.2034
patiḥ	-0.1952
tena	-0.1928
cāru	-0.1903
iha	-0.1873
tāni	-0.1830
abhūt	-0.1814
bhūyas	-0.1813
jātaḥ	-0.1794
pūrvam	-0.1783
nāradaḥ	-0.1749
padma	-0.1704
ātmā	-0.1685
brūhi	-0.1605
hema	-0.1598
ratna	-0.1579
ekaḥ	-0.1547
ātmanaḥ	-0.1526
nā	-0.1502
yena	-0.1462
āha	-0.1447
tasya	-0.1442
loke	-0.1439
śata	-0.1436
mātā	-0.1434
uvāca	-0.1425
daitya	-0.1406
saḥ	-0.1388
etat	-0.1383
tyaktvā	-0.1328
jaya	-0.1296
tapasā	-0.1295
ati	-0.1283
taiḥ	-0.1258
mad	-0.1214
tasmin	-0.1169
sukham	-0.1162
satatam	-0.1080
atha	-0.1056
śrīmān	-0.1054
sarvatas	-0.1026
nānā	-0.1016
astu	-0.0998
tale	-0.0986
an	-0.0946
brāhmaṇa	-0.0913
jam	-0.0898
manaḥ	-0.0873
kāmaḥ	-0.0853
yasya	-0.0791
puram	-0.0777
dharmaḥ	-0.0759
gṛham	-0.0759
hari	-0.0747
prāpya	-0.0732
vāc	-0.0703
tāḥ	-0.0695
teṣām	-0.0682
śiraḥ	-0.0640
tasyām	-0.0617
prajāḥ	-0.0560
kena	-0.0559
brāhmaṇaḥ	-0.0557
gatiḥ	-0.0543
bhūtvā	-0.0539
tayoḥ	-0.0482
śṛṇu	-0.0474
divya	-0.0460
kāryam	-0.0416
kṛṣṇa	-0.0410
gaṇa	-0.0397
punar	-0.0387
sura	-0.0372
bhūtānām	-0.0341
tayā	-0.0340
devān	-0.0336
teṣu	-0.0307
gaṅgā	-0.0298
kanyā	-0.0285
yatra	-0.0275
śatam	-0.0266
pāpam	-0.0241
narāḥ	-0.0197
ca	-0.0178
anena	-0.0154
tasyāḥ	-0.0146
sukha	-0.0143
tejaḥ	-0.0136
prāha	-0.0135
yat	-0.0123
para	-0.0111
sā	-0.0103
ātmānam	-0.0097
strī	-0.0072
yama	-0.0064
tat	-0.0055
mārkaṇḍeyaḥ	-0.0019
kālaḥ	0.0019
tatra	0.0030
tāvat	0.0068
purā	0.0070
gaṇāḥ	0.0077
asura	0.0090
sarveṣām	0.0191
lokam	0.0192
pṛthak	0.0234
uttamam	0.0246
satyam	0.0252
kāle	0.0253
asau	0.0260
vat	0.0261
anvitaḥ	0.0282
kṛt	0.0300
anyat	0.0329
sākṣāt	0.0332
varṣa	0.0332
nāma	0.0333
asmin	0.0352
api	0.0390
hi	0.0399
puṣpa	0.0428
bhagavān	0.0439
surāḥ	0.0446
muniḥ	0.0466
devīm	0.0469
tapaḥ	0.0519
kāma	0.0545
vratam	0.0548
śāstra	0.0563
vinā	0.0572
prabhuḥ	0.0576
madhye	0.0577
rakta	0.0578
vyāsaḥ	0.0593
go	0.0610
puruṣaḥ	0.0618
gṛhe	0.0641
rūpeṇa	0.0662
pitṛ	0.0669
guru	0.0674
paścāt	0.0700
aṅga	0.0722
dattvā	0.0724
asti	0.0746
śubha	0.0778
artham	0.0784
daśa	0.0797
hareḥ	0.0798
ced	0.0816
bhava	0.0840
ete	0.0856
kāla	0.0914
ūcuḥ	0.0921
manasā	0.0985
devi	0.1006
jñātvā	0.1040
puṇya	0.1041
īśvaraḥ	0.1106
karma	0.1112
vipra	0.1117
hariḥ	0.1120
evam	0.1126
sthitaḥ	0.1126
candra	0.1148
samam	0.1149
anyathā	0.1160
sarvam	0.1211
atra	0.1242
jala	0.1250
svayam	0.1274
munayaḥ	0.1279
nāmnā	0.1298
śakti	0.1309
viṣṇum	0.1320
kṛtvā	0.1337
